operator_id,ONU_Serial_No,CAF_No,Status,Outage,Account_Type,Franchise_Name,Username,MAC,Name,Aadhar_No,FatherCompany_Name,Package_Name,Sub_Package,Mobile,Alt_Mobile,IpAddress,Expiry_Date,Last_Renewal,FUP_Limit,Branch,Area,Colony,Building,Node,Pop,Switch,Door_No,Billing_Address,Installation_Address,GSTIN,Email,Date_Added,NAS_IP,POP_Tech_Exe,POP_Coll_Exe,Last_Payment_Source,Package_Price,Balance_Amount,Last_Logoff,Nas_Port_Id,Spl_Discount,Add_Charges,Latitude,Longitude,Auto_Renew,Connection_Type
1,,,active,,mac,plabs_sreebroadband,9494942249,E8:CC:18:BA:39:41,Atanu,1.20121E+11,Sagar,sree-50MBPS_500GB_FUP_3MBPS,1 month,9494942249,,10.10.201.22,04/23/2020 11:53,04/23/2020 11:53,494051.91,Seethanagaram,,,,,,,3rd floor,abc,ghi,,atanu@gmail.com,03/23/2020 11:52,,,,,690,,25-03-2020 11:42,,,,,,no,0
1,,,active,,others,plabs_sreebroadband,8956023124,E8:CC:18:BA:39:20,Dipak,1.20121E+11,Ramesh,sree-50MBPS_500GB_FUP_3MBPS,1 month,8956023124,,10.10.201.21,04/23/2020 12:37,03/23/2020 12:37,389069.4,Venkatapalem,,,,,,,1st-floor,def,hik,,rahesh@gmail.com,03/25/2020 11:52,,,,,700,,25-03-2020 10:42,,,,,,yes,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
